127.0.0.1 - - [07/Aug/2018:10:10:21 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Aug/2018:10:10:25 +0900] "GET /Webproj5/ HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [07/Aug/2018:10:10:27 +0900] "GET /Webproj5/ HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [07/Aug/2018:10:10:29 +0900] "POST /Webproj5/InquiryAction.action HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [07/Aug/2018:10:10:34 +0900] "POST /Webproj5/InquiryCompleteAction.action HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [07/Aug/2018:10:10:35 +0900] "GET /Webproj5/css/style.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [07/Aug/2018:10:10:41 +0900] "POST /Webproj5/InquiryCompleteAction.action HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [07/Aug/2018:10:10:41 +0900] "GET /Webproj5/css/style.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [07/Aug/2018:10:10:46 +0900] "POST /Webproj5/InquiryCompleteAction.action HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [07/Aug/2018:10:10:46 +0900] "GET /Webproj5/css/style.css HTTP/1.1" 404 1063
